id,food,Calories,Protein,Carbs,Fat,hourly_weighting
0,"Milk, human",70,1.03,6.89,4.38,"{0: 1, 1: 0.2, 2: 0.9, 3: 0.3}"
1,"Milk, NFS",52,3.33,4.83,2.14,"{0: 1, 1: 0.2, 2: 0.9, 3: 0.3}"
2,"Milk, whole",61,3.27,4.63,3.2,"{0: 1, 1: 0.2, 2: 0.9, 3: 0.3}"
3,"Milk, reduced fat (2%)",50,3.36,4.9,1.9,"{0: 1, 1: 0.2, 2: 0.9, 3: 0.3}"
4,"Milk, low fat (1%)",43,3.38,5.18,0.95,"{0: 1, 1: 0.2, 2: 0.9, 3: 0.3}"
5,"Milk, fat free (skim)",34,3.43,4.92,0.08,"{0: 1, 1: 0.2, 2: 0.9, 3: 0.3}"
6,"Milk, lactose free, low fat (1%)",43,3.38,5.18,0.95,"{0: 1, 1: 0.2, 2: 0.9, 3: 0.3}"
7,"Milk, lactose free, fat free (skim)",34,3.43,4.92,0.08,"{0: 1, 1: 0.2, 2: 0.9, 3: 0.3}"
8,"Milk, lactose free, reduced fat (2%)",50,3.36,4.9,1.9,"{0: 1, 1: 0.2, 2: 0.9, 3: 0.3}"
9,"Milk, lactose free, whole",61,3.27,4.63,3.2,"{0: 1, 1: 0.2, 2: 0.9, 3: 0.3}"
10,"Buttermilk, fat free (skim)",40,3.31,4.79,1.07,"{0: 1, 1: 0.2, 2: 0.9, 3: 0.3}"
11,"Buttermilk, whole",62,3.21,4.88,3.31,"{0: 1, 1: 0.2, 2: 0.9, 3: 0.3}"
12,"Kefir, NS as to fat content",52,3.59,7.48,0.96,"{0: 1, 1: 0.2, 2: 0.9, 3: 0.3}"
13,"Goat's milk, whole",69,3.56,4.45,4.14,"{0: 1, 1: 0.2, 2: 0.9, 3: 0.3}"
14,"Milk, dry, reconstituted, NS as to fat content",32,3.2,4.6,0.07,"{0: 1, 1: 0.2, 2: 0.9, 3: 0.3}"
15,"Milk, dry, reconstituted, whole",76,4.01,5.86,4.08,"{0: 1, 1: 0.2, 2: 0.9, 3: 0.3}"
16,"Milk, dry, reconstituted, low fat (1%)",40,3.17,4.55,1.01,"{0: 1, 1: 0.2, 2: 0.9, 3: 0.3}"
17,"Milk, dry, reconstituted, fat free (skim)",32,3.2,4.6,0.07,"{0: 1, 1: 0.2, 2: 0.9, 3: 0.3}"
18,"Milk, evaporated, NS as to fat content",134,6.81,10.04,7.56,"{0: 1, 1: 0.2, 2: 0.9, 3: 0.3}"
19,"Milk, evaporated, whole",134,6.81,10.04,7.56,"{0: 1, 1: 0.2, 2: 0.9, 3: 0.3}"
20,"Milk, evaporated, reduced fat (2%)",92,7.42,11.15,1.96,"{0: 1, 1: 0.2, 2: 0.9, 3: 0.3}"
21,"Milk, evaporated, fat free (skim)",78,7.55,11.35,0.2,"{0: 1, 1: 0.2, 2: 0.9, 3: 0.3}"
22,"Milk, condensed, sweetened",321,7.91,54.4,8.7,"{0: 1, 1: 0.2, 2: 0.9, 3: 0.3}"
23,"Non-dairy milk, NFS",29,1.14,3.14,1.34,"{0: 1, 1: 0.2, 2: 0.9, 3: 0.3}"
24,Soy milk,53,3.41,5.22,2.05,"{0: 1, 1: 0.2, 2: 0.9, 3: 0.3}"
25,"Soy milk, light",38,3.55,1.29,2.12,"{0: 1, 1: 0.2, 2: 0.9, 3: 0.3}"
26,"Soy milk, nonfat",38,3.55,1.29,2.12,"{0: 1, 1: 0.2, 2: 0.9, 3: 0.3}"
27,"Soy milk, chocolate",64,3.35,8.32,2.03,"{0: 1, 1: 0.2, 2: 0.9, 3: 0.3}"
28,"Soy milk, light, chocolate",39,3.6,1.46,2.15,"{0: 1, 1: 0.2, 2: 0.9, 3: 0.3}"
29,"Almond milk, sweetened",30,0.53,4.31,1.18,"{0: 1, 1: 0.2, 2: 0.9, 3: 0.3}"
30,"Almond milk, sweetened, chocolate",43,0.57,7.44,1.2,"{0: 1, 1: 0.2, 2: 0.9, 3: 0.3}"
31,"Almond milk, unsweetened",15,0.55,0.34,1.22,"{0: 1, 1: 0.2, 2: 0.9, 3: 0.3}"
32,"Almond milk, unsweetened, chocolate",16,0.61,0.51,1.26,"{0: 1, 1: 0.2, 2: 0.9, 3: 0.3}"
33,Rice milk,47,0.28,9.17,0.97,"{0: 1, 1: 0.2, 2: 0.9, 3: 0.3}"
34,Coconut milk,31,0.21,2.92,2.08,"{0: 1, 1: 0.2, 2: 0.9, 3: 0.3}"
35,"Yogurt, NFS",63,5.25,7.04,1.55,"{0: 1, 1: 0.2, 2: 0.9, 3: 0.3}"
36,"Yogurt, Greek, NS as to type of milk or flavor",73,9.95,3.94,1.92,"{0: 1, 1: 0.2, 2: 0.9, 3: 0.3}"
37,"Yogurt, NS as to type of milk or flavor",63,5.25,7.04,1.55,"{0: 1, 1: 0.2, 2: 0.9, 3: 0.3}"
38,"Yogurt, NS as to type of milk, plain",63,5.25,7.04,1.55,"{0: 1, 1: 0.2, 2: 0.9, 3: 0.3}"
39,"Yogurt, whole milk, plain",61,3.47,4.66,3.25,"{0: 1, 1: 0.2, 2: 0.9, 3: 0.3}"
40,"Yogurt, low fat milk, plain",63,5.25,7.04,1.55,"{0: 1, 1: 0.2, 2: 0.9, 3: 0.3}"
41,"Yogurt, nonfat milk, plain",56,5.73,7.68,0.18,"{0: 1, 1: 0.2, 2: 0.9, 3: 0.3}"
42,"Yogurt, Greek, NS as to type of milk, plain",73,9.95,3.94,1.92,"{0: 1, 1: 0.2, 2: 0.9, 3: 0.3}"
43,"Yogurt, Greek, whole milk, plain",97,9,3.98,5,"{0: 1, 1: 0.2, 2: 0.9, 3: 0.3}"
44,"Yogurt, Greek, low fat milk, plain",73,9.95,3.94,1.92,"{0: 1, 1: 0.2, 2: 0.9, 3: 0.3}"
45,"Yogurt, Greek, nonfat milk, plain",59,10.3,3.64,0.37,"{0: 1, 1: 0.2, 2: 0.9, 3: 0.3}"
46,"Yogurt, NS as to type of milk, fruit",89,4.66,14.46,1.37,"{0: 1, 1: 0.2, 2: 0.9, 3: 0.3}"
47,"Yogurt, whole milk, fruit",87,3.1,12.36,2.87,"{0: 1, 1: 0.2, 2: 0.9, 3: 0.3}"
48,"Yogurt, low fat milk, fruit",89,4.66,14.46,1.37,"{0: 1, 1: 0.2, 2: 0.9, 3: 0.3}"
49,"Yogurt, nonfat milk, fruit",83,5.09,15.02,0.17,"{0: 1, 1: 0.2, 2: 0.9, 3: 0.3}"
50,"Yogurt, Greek, NS as to type of milk, fruit",105,8.17,12.29,2.57,"{0: 1, 1: 0.2, 2: 0.9, 3: 0.3}"
51,"Yogurt, Greek, whole milk, fruit",106,7.33,12.29,3,"{0: 1, 1: 0.2, 2: 0.9, 3: 0.3}"
52,"Yogurt, Greek, low fat milk, fruit",105,8.17,12.29,2.57,"{0: 1, 1: 0.2, 2: 0.9, 3: 0.3}"
53,"Yogurt, Greek, nonfat milk, fruit",82,8.06,12.2,0.15,"{0: 1, 1: 0.2, 2: 0.9, 3: 0.3}"
54,"Yogurt, NS as to type of milk, flavors other than fruit",73,5.09,9.82,1.51,"{0: 1, 1: 0.2, 2: 0.9, 3: 0.3}"
55,"Yogurt, whole milk, flavors other than fruit",78,3.3,9.41,3.1,"{0: 1, 1: 0.2, 2: 0.9, 3: 0.3}"
56,"Yogurt, low fat milk, flavors other than fruit",73,5.09,9.82,1.51,"{0: 1, 1: 0.2, 2: 0.9, 3: 0.3}"
57,"Yogurt, nonfat milk, flavors other than fruit",66,5.56,10.44,0.18,"{0: 1, 1: 0.2, 2: 0.9, 3: 0.3}"
58,"Yogurt, Greek, NS as to type of milk, flavors other than fruit",95,8.64,9.54,2.5,"{0: 1, 1: 0.2, 2: 0.9, 3: 0.3}"
59,"Yogurt, Greek, whole milk, flavors other than fruit",111,8.47,9.35,4.44,"{0: 1, 1: 0.2, 2: 0.9, 3: 0.3}"
60,"Yogurt, Greek, low fat milk, flavors other than fruit",95,8.64,9.54,2.5,"{0: 1, 1: 0.2, 2: 0.9, 3: 0.3}"
61,"Yogurt, Greek, nonfat milk, flavors other than fruit",78,8.64,10.37,0.18,"{0: 1, 1: 0.2, 2: 0.9, 3: 0.3}"
62,"Yogurt, Greek, with oats",160,8.88,21.1,4.6,"{0: 1, 1: 0.2, 2: 0.9, 3: 0.3}"
