ae,crossover_type,crossover_probability,mutation_probability,f1_min,f1_mean,f1_max,f1_sd,f2_min,f2_mean,f2_max,f2_sd,execution_time_min,execution_time_mean,execution_time_max,execution_time_sd
1,column,0.3,0.1,348.51256380570516,607.0536408399031,856.891806080813,107.52631027288186,0.0,0.0,140.0,37.264050604511866,6.344963073730469,6.623562574386597,6.847070217132568,0.11146533958421682
2,column,0.3,0.01,202.4848626534896,294.2667920159738,448.8200240255584,44.90836140059982,0.0,0.0,110.0,16.83046234688511,6.544156789779663,6.687070369720459,6.92537522315979,0.09668654384742857
3,column,0.3,0.005,234.85041900965902,302.7083154652895,543.0706855844224,81.28175250721716,0.0,0.0,110.0,17.46245973510032,6.573187589645386,6.823464393615723,7.02970290184021,0.12479998050348572
4,column,0.5,0.1,390.2098800932641,623.4964671403823,915.7482575938569,115.41995861429359,0.0,0.0,120.0,22.55131888540168,6.455949783325195,6.612430453300476,6.9845287799835205,0.1189680798840155
5,column,0.5,0.01,217.30074619235882,277.3588417065879,435.79657290384233,48.8631736513186,0.0,0.0,120.0,19.06423620045242,6.130785942077637,6.413974761962891,7.156189441680908,0.2834907780928493
6,column,0.5,0.005,215.29658463627032,318.841420805175,619.3094320955986,76.13336951280408,0.0,0.0,10.0,4.213250442347431,5.9278905391693115,6.0737069845199585,6.24152946472168,0.07635564782420635
7,column,0.8,0.1,420.9328083874868,613.9760115733504,941.1240965846871,117.56703049153225,0.0,10.0,120.0,28.963034766798035,5.7855918407440186,5.919496536254883,6.20071268081665,0.09637059782181608
8,column,0.8,0.01,210.3090491599999,294.29374163053785,459.4492099238935,57.294795027234244,0.0,0.0,130.0,37.23431962347546,5.8224639892578125,6.026076793670654,6.513040542602539,0.14731364390153331
9,column,0.8,0.005,203.81268087148945,304.69394627936947,1184.7150852862458,184.94706630022978,0.0,0.0,110.0,17.78983661347363,5.801700830459595,5.985836625099182,6.240063428878784,0.10885420525825576
10,row,0.3,0.1,403.678114726969,602.4395798782613,807.0772420895415,89.68547730031858,0.0,10.0,230.0,42.81348015333765,5.780168056488037,5.927472949028015,6.062842607498169,0.06683317526788024
11,row,0.3,0.01,208.78533991250058,292.0637851876774,436.2368712902837,51.36709086294137,0.0,0.0,110.0,18.217763762391396,5.832844972610474,6.086225271224976,6.711336612701416,0.2223018979058413
12,row,0.3,0.005,197.4781937151845,296.5953021518422,393.7365193701945,45.41337231316933,0.0,0.0,10.0,2.874797872880345,5.879454612731934,6.239615797996521,8.023620367050171,0.47659437769637436
13,row,0.5,0.1,474.39609790424333,621.660377216717,909.0494655264436,98.26907829235694,0.0,10.0,140.0,33.3480835214891,5.903173446655273,6.043724417686462,6.6882336139678955,0.17265238497185983
14,row,0.5,0.01,231.26407658489114,296.19280752330906,443.446783580543,53.6714330492101,0.0,0.0,120.0,33.603075256093256,5.809114456176758,6.007226228713989,6.209868669509888,0.10162373650100828
15,row,0.5,0.005,187.58613495048763,295.9902080482484,485.22414115516824,63.157453777898816,0.0,0.0,110.0,18.02583556794075,5.8631086349487305,6.020881652832031,6.28840184211731,0.09975016586428352
16,row,0.8,0.1,401.6250438627149,594.0396049753454,918.9041367469675,116.18652405294817,0.0,5.0,130.0,26.676560664540112,5.739350080490112,5.965100646018982,6.636018753051758,0.154362446678928
17,row,0.8,0.01,193.37214854343785,287.1120457034021,418.7949401493723,53.88978032836987,0.0,0.0,110.0,18.32096057448632,5.81034779548645,6.015938997268677,6.256093740463257,0.09703728235381201
18,row,0.8,0.005,146.52515654866355,298.5078181269233,513.147602905374,56.614261055821316,0.0,0.0,110.0,18.102056269881462,5.848757266998291,5.987643003463745,6.123086452484131,0.07337923731607501
