ae,crossover_type,crossover_probability,mutation_probability,fitness_min,fitness_mean,fitness_max,fitness_sd,variety_min,variety_mean,variety_max,variety_sd,execution_time_min,execution_time_mean,execution_time_max,execution_time_sd
1,column,0.3,0.1,417.78499178143716,605.6571661404942,881.8489588482634,111.84541568001,0.0,0.0,40.0,11.184404726712508,6.5838704109191895,6.847947359085083,7.77744460105896,0.28417736450075987
2,column,0.3,0.3,586.0414160866547,1126.4866075919176,1605.2888018759656,212.8495288542432,0.0,10.0,240.0,44.87239435352499,6.452322006225586,6.644489049911499,7.440463542938232,0.2274985924304276
3,column,0.3,0.5,832.160010843513,1376.9594154380636,2025.0357267502757,250.8840387096305,0.0,10.0,160.0,27.5610198573437,6.319178819656372,6.67947518825531,7.032896041870117,0.1621585679532289
4,column,0.5,0.1,404.08361075718113,601.3043588632511,958.4673027303297,117.95631403931355,0.0,0.0,110.0,15.204707012595879,6.313470125198364,6.503451108932495,8.48008131980896,0.39300417581187463
5,column,0.5,0.3,625.485750525022,1118.5941203434659,1641.8298968045908,190.16912935380813,0.0,10.0,240.0,51.32470442593459,6.345963478088379,6.498239874839783,7.073776483535767,0.1650326411147008
6,column,0.5,0.5,736.0228266628866,1375.9465946421142,1893.7173816582374,262.8838881202916,0.0,10.0,230.0,41.81130952035893,6.321692943572998,6.517685890197754,6.708869695663452,0.11442390402489348
7,column,0.8,0.1,401.42361182291546,601.126000381998,872.8903594061403,110.59910546273944,0.0,10.0,110.0,23.937887562136723,6.285707235336304,6.483181357383728,7.255932569503784,0.15850464334945935
8,column,0.8,0.3,683.2747678727098,1061.0015274826862,1577.257753594126,206.66632473763553,0.0,10.0,140.0,39.96440105517417,6.287702798843384,6.445440649986267,6.96291708946228,0.17410736104205923
9,column,0.8,0.5,861.8106623242008,1360.0431051248504,2056.3512004590234,245.2271837668934,0.0,10.0,240.0,38.34227262604383,6.288994073867798,6.522842288017273,6.7423624992370605,0.11654047722720182
10,row,0.3,0.1,366.9876210610114,631.7652148028933,858.8334822723122,95.63019363939557,0.0,10.0,230.0,43.2253854772252,6.206906795501709,6.460286617279053,6.8193981647491455,0.13151556821112426
11,row,0.3,0.3,554.9301621630642,1135.961871358882,1923.6362521461097,218.65999576125026,0.0,10.0,140.0,39.899091468353014,6.307159423828125,6.497743368148804,6.941787481307983,0.17888599742658973
12,row,0.3,0.5,975.7559278130258,1312.162651572787,1829.2587067795416,212.91553199123624,0.0,10.0,240.0,41.8807744620346,6.259373426437378,6.469290494918823,6.918572664260864,0.12570768220920403
13,row,0.5,0.1,463.7047761064794,617.4194475745488,879.4972479537674,87.62414833576305,0.0,0.0,120.0,25.992577739493434,6.428498983383179,6.666120409965515,7.103314161300659,0.17282017848908848
14,row,0.5,0.3,583.4142474551828,1024.8671301219797,1455.7357979956025,182.11669098331924,0.0,10.0,150.0,40.13278134403725,6.342936277389526,6.53598427772522,7.107202768325806,0.18225704188605965
15,row,0.5,0.5,842.810027134788,1381.2344821256952,1943.1257702912137,219.81751083464263,0.0,10.0,150.0,33.43348297640432,6.337717056274414,6.567613959312439,6.875132083892822,0.17002174574177156
16,row,0.8,0.1,398.4542413444278,616.9600270284129,771.5022932956045,92.9918552886061,0.0,0.0,120.0,21.415918883686803,6.377176284790039,6.621400713920593,8.101888179779053,0.3669250000385706
17,row,0.8,0.3,767.5205003678849,1057.709590199076,1619.4062347473512,181.43548196833316,0.0,10.0,230.0,44.00608975411871,6.387561559677124,6.658402800559998,8.332335710525513,0.34819592288619533
18,row,0.8,0.5,749.0517478702667,1331.8894402626104,1798.810360385254,201.02615570022903,0.0,10.0,150.0,42.962876262161814,6.456280708312988,6.6506980657577515,7.994067907333374,0.2635713007951936
