ae,crossover_type,crossover_probability,mutation_probability,fitness_min,fitness_mean,fitness_max,fitness_sd,variety_min,variety_mean,variety_max,variety_sd,execution_time_min,execution_time_mean,execution_time_max,execution_time_sd
1,column,0.3,0.1,478.0584874213816,789.1304010845718,1201.9980794738487,172.962821016043,0.0,5.0,30.0,8.060534859562498,6.38930344581604,6.686064958572388,6.917572736740112,0.1308572036490527
2,column,0.3,0.3,1024.263266420024,1654.529337647954,2244.06452452104,215.44376606240206,0.0,10.0,250.0,48.50523154482356,6.487958669662476,6.713873863220215,6.995396375656128,0.12396776275853964
3,column,0.3,0.5,1214.6807975523918,1985.006522971135,2589.4029200859454,288.07739132524415,0.0,10.0,150.0,31.610455772219165,6.534679412841797,6.70076322555542,6.991290092468262,0.11009794411424699
4,column,0.5,0.1,453.5793274650387,846.5101602286175,1316.5906224373166,198.33364578556157,0.0,10.0,140.0,32.9445019734058,6.501155853271484,6.699622392654419,7.036485195159912,0.12124424470398325
5,column,0.5,0.3,1191.530624813311,1681.5047908965173,2197.1368966450204,228.42456567127618,0.0,10.0,240.0,35.38587288735435,6.590463638305664,6.7617470026016235,7.74303412437439,0.34659586484053023
6,column,0.5,0.5,1388.3404801667562,1936.750093223457,2733.8088260073782,266.7482080310579,0.0,10.0,250.0,47.227991255770924,6.359574794769287,6.626593708992004,7.953461408615112,0.36169510528191173
7,column,0.8,0.1,456.4410341473073,788.2288205849003,1372.7664674983232,201.04862944615405,0.0,10.0,130.0,33.28059042248608,6.500486373901367,6.7441956996917725,7.55539345741272,0.33187594261948805
8,column,0.8,0.3,1134.779466733764,1688.6187401555621,2322.4026129053345,274.2221953995976,0.0,10.0,120.0,28.449563008096646,6.325052261352539,6.516157031059265,7.098365068435669,0.15436617786884246
9,column,0.8,0.5,1193.8253027747362,1941.0288906966248,2582.9722351949854,265.4940526682899,0.0,10.0,230.0,41.17603028798671,6.447614431381226,6.6201478242874146,6.978584289550781,0.1250157320523523
10,row,0.3,0.1,539.7546897403802,840.0872276635679,1339.0384637790958,154.97836985990983,0.0,10.0,120.0,30.352341729057745,6.395216464996338,6.629764080047607,6.97942328453064,0.14376690831713246
11,row,0.3,0.3,1064.8862819149224,1649.9871610100463,2321.1231435344366,253.8676673154315,0.0,10.0,140.0,35.256719436613764,6.416695833206177,6.572646737098694,6.95701789855957,0.1320036572533418
12,row,0.3,0.5,1473.680612507552,2050.919438719622,2623.531914702673,253.9495182378105,0.0,10.0,350.0,58.38916905097057,6.431300401687622,6.609245657920837,7.071507215499878,0.16042658297703818
13,row,0.5,0.1,507.6117810850397,773.1936261299314,1388.7755629844487,185.97590750546047,0.0,10.0,120.0,27.421318548485228,6.314101934432983,6.635425925254822,7.049767971038818,0.1633334358334741
14,row,0.5,0.3,986.7328654415816,1582.941959555798,2192.888083579178,248.13379327656764,0.0,10.0,150.0,41.332338288144925,5.795332670211792,6.115633130073547,7.115923166275024,0.29319765625018823
15,row,0.5,0.5,855.4761593491833,1960.1013354951233,2554.2751335155835,304.07994363681007,0.0,10.0,220.0,46.01923063467074,5.813765525817871,5.988518118858337,6.240772008895874,0.13312231597747975
16,row,0.8,0.1,423.33429323418477,818.2326574516283,1305.342489559602,174.19768351111117,0.0,10.0,140.0,30.487593104955554,5.672365427017212,6.010091543197632,6.192707538604736,0.13065985623661056
17,row,0.8,0.3,1079.0689733985648,1612.202758548313,2186.4137064352794,225.0522704863469,0.0,10.0,230.0,49.25407311909201,5.65225625038147,5.950300693511963,6.174594402313232,0.14087457154727037
18,row,0.8,0.5,1416.5826328579194,2000.0359399878828,2494.0518804579715,277.23661782102914,0.0,10.0,140.0,35.70740892271217,5.685856580734253,5.847665429115295,6.09084153175354,0.10097372070342898
